code,name,close,ma5,pct_above
600262,北方股份,21.19,20.2,4.89
002258,利尔化学,13.75,13.11,4.88
603273,天元智能,14.17,13.51,4.87
002911,佛燃能源,10.4,9.92,4.86
601019,山东出版,6.92,6.6,4.82
600916,中国黄金,7.38,7.04,4.8
002265,建设工业,18.49,17.64,4.79
600627,上电股份,28.73,27.42,4.79
600761,安徽合力,17.31,16.52,4.79
605266,健之佳,16.02,15.29,4.79
603698,航天工程,42.25,40.32,4.78
603859,能科科技,52.3,49.92,4.78
605599,菜百股份,14.82,14.14,4.78
600166,福田汽车,3.12,2.98,4.77
002901,大博医疗,45.37,43.31,4.75
600815,厦工股份,2.82,2.69,4.75
603896,寿仙谷,14.15,13.51,4.74
002708,光洋股份,13.69,13.07,4.71
002683,广东宏大,31.03,29.64,4.7
603409,汇通控股,19.69,18.81,4.68
002383,合众思壮,7.21,6.89,4.67
603586,金麒麟,13.44,12.84,4.67
600975,新五丰,4.81,4.6,4.66
603037,凯众股份,10.65,10.18,4.66
603280,南方路机,26.8,25.61,4.66
002600,领益智造,18.02,17.22,4.65
603677,奇精机械,13.65,13.04,4.65
603988,中电电机,17.6,16.82,4.64
002173,创新医疗,18.39,17.58,4.62
002670,国盛证券,12.37,11.82,4.62
600685,中船防务,27.07,25.87,4.62
603613,国联股份,19.64,18.77,4.62
000549,S湘火炬,8.9,8.51,4.61
600205,S山东铝,25.41,24.29,4.61
605333,沪光股份,18.05,17.25,4.61
600835,上海机电,21.83,20.87,4.6
000426,兴业银锡,35.34,33.79,4.59
000790,华神科技,3.83,3.66,4.59
002039,黔源电力,20.48,19.58,4.59
002420,毅昌科技,5.79,5.54,4.59
002437,誉衡药业,2.96,2.83,4.59
600764,中国海防,18.74,17.92,4.59
002738,中矿资源,64.26,61.45,4.57
001230,劲旅环境,16.59,15.87,4.56
002248,华东数控,9.52,9.11,4.55
001333,光华股份,19.94,19.07,4.54
002347,泰尔股份,6.19,5.92,4.53
603786,科博达,44.28,42.36,4.53
001872,招商港口,20.85,19.95,4.51
002234,民和股份,7.09,6.78,4.51
000408,藏格矿业,73.35,70.19,4.5
002497,雅化集团,21.87,20.93,4.5
603630,拉芳家化,14.06,13.45,4.5
603960,克来机电,18.38,17.59,4.5
600066,宇通客车,28.9,27.66,4.49
600379,宝光股份,15.63,14.96,4.49
600296,S兰铝,14.61,13.98,4.48
002775,文科股份,3.69,3.53,4.47
002686,亿利达,5.48,5.25,4.46
600212,绿能慧充,5.53,5.29,4.46
600710,苏美达,10.27,9.83,4.45
600279,重庆港,3.95,3.78,4.44
603117,万林物流,3.62,3.47,4.44
603257,中国瑞林,84,80.43,4.44
002086,东方海洋,1.79,1.71,4.43
002329,皇氏集团,2.97,2.84,4.43
002593,日上集团,4.24,4.06,4.43
603966,法兰泰克,8.68,8.31,4.43
603609,禾丰股份,6.33,6.06,4.42
603676,卫信康,8.81,8.44,4.41
000816,智慧农业,2.47,2.37,4.4
600110,诺德股份,15.75,15.09,4.4
600148,长春一东,15.52,14.87,4.4
002535,林州重机,2.38,2.28,4.39
002703,浙江世宝,15.08,14.45,4.39
603370,华新精科,38.28,36.67,4.39
002880,卫光生物,21.55,20.65,4.37
601058,赛轮轮胎,12.28,11.77,4.37
600872,中炬高新,18.8,18.01,4.36
603086,先达股份,5.6,5.37,4.36
000848,承德露露,7.99,7.66,4.34
600513,联环药业,15.9,15.24,4.34
002233,塔牌集团,7.52,7.21,4.33
600582,天地科技,4.72,4.52,4.33
000856,冀东装备,7.68,7.36,4.32
003009,中天火箭,62.52,59.93,4.32
603983,丸美生物,29.16,27.96,4.31
003033,征和工业,59.89,57.42,4.3
002286,保龄宝,8.81,8.45,4.29
002406,远东传动,6.95,6.66,4.29
601002,晋亿实业,4.57,4.38,4.29
600439,瑞贝卡,2.24,2.15,4.28
603327,福蓉科技,8.86,8.5,4.28
603871,嘉友国际,11.11,10.65,4.28
002327,富安娜,6.45,6.19,4.27
600829,人民同泰,8.4,8.06,4.27
000421,南京公用,5.33,5.11,4.26
002780,三夫户外,13.12,12.58,4.26
603998,方盛制药,9.73,9.33,4.26
000570,苏常柴A,5,4.8,4.25
001260,坤泰股份,16.83,16.14,4.25
002006,精工科技,15.86,15.21,4.25
002829,星网宇达,18.39,17.64,4.25
605169,洪通燃气,9.49,9.1,4.24
000028,国药一致,20.36,19.53,4.23
001288,运机集团,25.36,24.33,4.23
002391,长青股份,5.27,5.06,4.23
601956,东贝集团,4.98,4.78,4.23
603456,九洲药业,14.64,14.05,4.23
603558,健盛集团,11.92,11.44,4.23
600833,第一医药,9.77,9.37,4.22
605050,福然德,9.98,9.58,4.22
002266,浙富控股,5.3,5.09,4.21
600252,中恒集团,1.93,1.85,4.21
600031,三一重工,18.56,17.81,4.2
600933,爱柯迪,15.39,14.77,4.2
600039,四川路桥,8.45,8.11,4.19
601969,海南矿业,8.66,8.31,4.19
603229,奥翔药业,8.46,8.12,4.19
601156,东航物流,17.8,17.09,4.18
603089,正裕工业,8.93,8.57,4.18
001324,长青科技,19.95,19.15,4.17
002895,川恒股份,31.7,30.43,4.17
600686,金龙汽车,12.28,11.79,4.17
001325,元创股份,38.17,36.64,4.16
600099,林海股份,8.61,8.27,4.16
603319,美湖股份,34.5,33.12,4.16
000937,冀中能源,4.27,4.1,4.15
002117,东港股份,8.29,7.96,4.15
002973,侨银股份,10.99,10.55,4.15
002786,银宝山新,8.15,7.83,4.14
600236,桂冠电力,9.54,9.16,4.13
603344,星德胜,25.31,24.31,4.13
603967,中创物流,11.29,10.84,4.13
002493,荣盛石化,11.68,11.22,4.12
002676,顺威股份,5.33,5.12,4.1
002906,华阳集团,26.48,25.44,4.1
600428,中远海特,8.63,8.29,4.1
605138,盛泰集团,5.99,5.75,4.1
000518,四环生物,3.46,3.32,4.09
600295,鄂尔多斯,11.65,11.19,4.09
000514,渝开发,3.83,3.68,4.08
002763,汇洁股份,7.3,7.01,4.08
600771,广誉远,14.13,13.58,4.08
603028,赛福天,6.94,6.67,4.08
603081,大丰实业,9.18,8.82,4.08
